participant,isMale,leftHanded,age,weight,height,HowReligious,nSibling,smoke,romantic,education1_you,education_father,education_mother,conservative_you,conservative_father,conservative_mother,income_you,income_parent,cityGrewupPopulation,cityGrewupSize,cityGrewupConservative,cityNowPopulation,cityNowSize,cityNowConservative
3111ZL,0,0,18,122,63,2,3,1,3,2,5,4,3,4,2,1,6,3,3,3,6,5,3
3112ZL,0,0,18,116,65,2,3,1,1,2,2,2,4,6,5,1,5,5,5,5,6,5,3
3113ZL,0,0,19,135,67,4,2,1,1,2,5,4,4,5,4,1,6,5,5,5,6,5,2
3115ZL,0,0,19,120,68,5,4,1,1,2,1,1,2,4,5,1,1,3,2,5,6,5,3
3118ZL,0,0,19,145,65,5,2,1,1,2,3,3,4,6,5,1,5,5,3,4,5,4,2
3119ZL,0,0,19,150,66.5,3,2,1,1,2,5,3,2,4,2,1,4,3,3,5,6,5,2
3120ZL,0,0,21,145,67,2,3,1,4,3,1,2,3,3,3,1,5,1,1,5,6,5,4
3121ZL,0,0,20,145,91,4,2,1,3,3,4,5,2,2,2,1,2,7,4,4,7,5,1
3123ZL,0,0,23,122,63,1,3,1,4,2,1,3,1,4,1,1,4,3,3,3,6,5,3
3125ZL,1,0,21,180,70,3,2,3,1,2,5,4,4,4,3,1,5,5,4,3,7,5,3
3126ZL,1,0,20,155,69,1,3,2,1,3,3,3,4,4,4,1,5,6,5,4,7,5,4
3130ZL,0,0,18,100,63,1,2,1,1,2,5,2,1,3,3,1,5,7,3,3,7,3,3
3132ZL,1,0,19,105,68,2,2,1,1,2,5,4,2,3,3,1,5,2,3,3,5,5,3
3136ZL,0,0,18,148,66,3,2,1,3,2,2,1,2,4,5,1,1,1,2,6,5,5,3
3139ZL,0,0,28,104,64,1,2,1,5,3,1,1,2,3,3,1,1,2,2,3,6,5,4
3140ZL,1,0,21,212,66,1,3,1,2,2,3,3,1,3,2,1,4,3,4,5,7,5,1
3141ZL,1,0,19,145,67,1,3,1,5,2,3,3,3,6,3,1,4,1,1,5,7,5,2
3142ZL,0,0,20,140,68,1,3,3,3,2,3,3,4,4,5,1,3,3,3,4,6,5,3
3144ZL,0,0,18,195,66,1,4,1,1,2,1,3,3,5,3,1,2,2,3,4,6,5,3
3148ZL,0,0,21,105,63,6,2,1,2,3,1,2,2,2,2,1,3,5,2,2,6,5,2
3153ZL,0,1,18,160,59,2,3,1,2,1,2,1,3,4,4,1,5,2,1,5,6,5,2
3154ZL,0,0,19,190,66,3,2,1,1,2,3,3,2,2,2,1,5,5,3,4,7,5,3
3156ZL,0,3,23,130,67,1,3,1,1,4,3,5,2,3,2,1,5,4,3,5,6,5,3
3166ZL,0,0,19,170,71,5,2,1,6,2,3,3,6,6,5,1,6,3,3,5,6,5,2
3170ZL,0,0,18,115,63,3,3,1,5,2,2,1,5,5,5,1,5,3,2,6,6,5,1
3171ZL,0,1,25,108,62,1,2,1,1,4,5,1,2,2,2,1,1,5,5,2,6,4,4
3179ZL,1,0,19,130,69,2,2,3,1,2,3,3,3,5,5,1,3,3,3,3,6,5,3
3181ZL,0,0,18,210,66,5,3,1,4,2,3,4,4,5,6,1,5,2,3,5,5,5,1
3184ZL,0,0,18,145,66,1,3,1,1,2,3,3,3,3,3,1,3,3,2,3,6,4,3
3188ZL,0,0,20,170,69.5,4,2,1,3,2,3,2,3,3,3,1,5,3,3,3,6,5,2
3190ZL,0,0,19,109,60,6,4,1,1,2,5,5,6,6,6,1,3,3,3,4,6,5,5
